X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-0.34,-1.61,8.27,-2.06,1.12,0.09
-0.66,-1.57,8.40,-2.23,1.18,-0.18
-1.25,-1.48,9.45,-2.22,1.00,-0.39
-1.26,-1.67,8.90,-2.28,0.84,-0.58
-1.40,-2.04,8.55,-2.35,0.84,-0.72
-1.62,-2.72,8.22,-2.45,0.96,-0.77
-1.78,-3.30,7.80,-2.58,1.14,-0.75
-2.10,-3.68,8.21,-2.68,1.29,-0.70
-2.25,-3.74,7.73,-2.77,1.40,-0.63
-2.40,-3.69,7.56,-2.84,1.56,-0.52
-2.54,-3.97,7.47,-2.91,1.80,-0.39
-2.32,-4.61,6.52,-2.96,2.16,-0.31
-2.47,-5.50,6.19,-3.01,2.72,-0.28
-2.73,-5.90,5.66,-3.17,3.28,-0.35
-2.96,-5.90,4.90,-3.37,3.75,-0.50
-3.36,-6.62,4.27,-3.49,4.17,-0.65
-3.81,-7.73,3.64,-3.76,4.40,-0.73
-4.25,-8.93,3.51,-4.18,4.36,-0.70
-4.38,-9.87,3.60,-4.63,4.12,-0.59
-4.22,-9.74,3.88,-4.96,3.83,-0.52
-4.17,-9.06,3.98,-5.09,3.55,-0.50
-3.96,-8.36,3.96,-5.07,3.32,-0.46
-3.52,-8.08,4.16,-4.83,3.13,-0.48
-3.18,-8.05,4.26,-4.36,2.90,-0.56
-2.92,-8.61,4.23,-3.79,2.53,-0.63
-2.67,-9.51,4.12,-3.17,2.03,-0.63
-2.45,-10.49,3.98,-2.52,1.50,-0.52
-2.04,-11.23,3.63,-1.96,0.89,-0.49
-2.03,-10.84,3.32,-1.52,0.29,-0.54
-2.05,-9.77,2.83,-1.15,-0.15,-0.59
-2.15,-8.61,2.27,-0.83,-0.30,-0.59
-2.15,-7.85,1.85,-0.53,-0.15,-0.54
-1.99,-7.57,1.55,-0.22,0.24,-0.51
-1.94,-7.28,1.44,0.18,0.78,-0.48
-1.89,-7.07,1.45,0.59,1.26,-0.46
-1.75,-6.96,1.49,1.04,1.58,-0.44
-1.65,-6.96,1.62,1.54,1.74,-0.45
-1.42,-7.19,1.59,2.07,1.71,-0.49
-1.17,-7.36,1.42,2.58,1.55,-0.61
-0.96,-7.77,1.07,3.07,1.34,-0.76
-0.66,-8.40,0.57,3.50,1.13,-0.93
-0.42,-9.08,0.21,3.90,0.98,-1.15
-0.15,-9.72,-0.30,4.28,0.91,-1.37
0.20,-10.87,-0.50,4.63,0.89,-1.64
0.44,-12.54,-0.96,4.96,0.82,-1.99
0.62,-14.02,-1.73,4.96,0.67,-2.38
0.86,-15.12,-2.48,4.58,0.51,-2.82
1.14,-16.04,-2.80,4.01,0.48,-3.37
1.04,-16.58,-2.95,3.40,0.59,-3.99
0.70,-16.69,-2.99,2.75,0.76,-4.60
0.07,-16.75,-2.55,2.15,0.97,-5.08
-0.38,-17.04,-2.09,1.69,1.17,-5.45
-1.07,-17.09,-1.51,1.33,1.29,-5.70
-1.67,-16.96,-1.11,1.02,1.29,-5.76
-2.10,-16.72,-0.75,0.71,1.21,-5.73
-2.61,-16.11,-0.45,0.41,1.04,-5.64
-3.19,-15.15,-0.23,0.06,0.80,-5.47
-3.81,-13.91,-0.06,-0.34,0.53,-5.17
-4.42,-12.53,0.12,-0.74,0.29,-4.70
-4.97,-11.23,0.29,-1.12,0.10,-4.06
-5.37,-10.31,0.41,-1.50,-0.03,-3.25
-5.57,-9.94,0.59,-1.86,-0.09,-2.31
-5.63,-10.04,0.89,-2.14,-0.06,-1.30
-5.55,-10.42,1.18,-2.31,-0.01,-0.27
-5.35,-10.92,1.39,-2.42,0.03,0.75
-5.06,-11.50,1.45,-2.50,0.03,1.73
-4.63,-12.20,1.47,-2.57,0.00,2.65
-4.12,-12.97,1.56,-2.58,-0.04,3.50
-3.53,-13.73,1.62,-2.50,-0.10,4.23
-2.93,-14.22,1.70,-2.34,-0.21,4.82
-2.36,-14.34,1.76,-2.10,-0.37,5.27
-1.84,-14.26,1.80,-1.78,-0.60,5.59
-1.31,-14.14,1.76,-1.39,-0.89,5.76
-0.73,-14.08,1.72,-0.97,-1.20,5.79
-0.24,-13.75,1.81,-0.45,-1.54,5.65
0.08,-12.98,1.87,0.08,-1.97,5.38
0.02,-11.80,1.71,0.65,-2.50,5.03
-0.00,-10.59,1.14,1.07,-3.10,4.74
0.06,-9.53,0.59,1.37,-3.63,4.45
0.26,-8.52,-0.13,1.61,-3.97,4.16
0.58,-7.73,-0.79,1.74,-4.07,3.82
0.92,-7.11,-1.35,1.79,-3.96,3.41
1.12,-6.50,-1.71,1.74,-3.70,2.97
1.30,-6.02,-1.79,1.62,-3.38,2.50
1.26,-5.54,-1.77,1.45,-3.12,2.01
1.18,-5.32,-1.77,1.20,-2.95,1.59
1.17,-5.43,-1.74,0.88,-2.84,1.21
1.14,-5.70,-1.63,0.55,-2.74,0.85
0.99,-5.94,-1.39,0.21,-2.69,0.54
0.69,-6.05,-1.09,-0.11,-2.73,0.31
-0.06,-5.53,-1.70,-0.47,-2.88,0.21
-0.86,-3.89,-5.66,-3.01,-2.60,1.25
1.95,-6.56,-4.17,-4.48,-1.15,1.87
2.60,-8.86,-2.01,-5.27,1.05,1.61
1.48,-9.61,0.57,-5.40,2.87,1.04
0.49,-10.03,3.27,-5.21,3.58,0.47
-0.31,-10.02,5.42,-4.81,3.18,-0.13
-0.84,-9.81,6.69,-4.35,1.81,-0.68
-1.47,-9.79,7.99,-3.69,-0.12,-1.09
-1.57,-10.39,7.91,-3.18,-2.29,-1.49
-1.78,-10.68,7.25,-2.68,-4.21,-1.87
-1.56,-11.40,6.06,-2.31,-5.42,-2.14
-1.09,-11.95,4.99,-2.00,-5.74,-2.38
-0.84,-11.89,4.39,-1.71,-5.37,-2.63
-0.94,-11.64,4.21,-1.40,-4.70,-2.86
-1.19,-11.75,4.11,-1.07,-3.98,-2.98
-1.51,-11.89,3.98,-0.74,-3.32,-2.99
-1.97,-11.94,4.00,-0.39,-2.74,-2.81
-2.33,-11.65,3.95,0.00,-2.21,-2.40
-2.51,-11.20,3.92,0.47,-1.59,-1.79
-2.48,-10.95,3.76,1.03,-0.81,-1.04
-2.98,-11.19,4.33,1.62,-0.00,-0.17
-3.21,-11.54,4.95,2.28,0.24,0.87
-2.59,-12.02,4.51,2.68,0.02,1.66
-1.97,-12.37,3.81,2.84,-0.39,2.22
-1.40,-12.32,2.89,2.85,-0.82,2.64
-0.76,-12.04,1.77,2.71,-1.14,2.94
-0.10,-11.97,0.69,2.46,-1.18,3.18
0.64,-12.14,-0.23,2.10,-0.84,3.39
1.28,-12.79,-0.69,1.75,-0.05,3.64
1.91,-13.56,-0.86,1.37,1.09,3.85
2.35,-13.75,-0.53,0.95,2.32,3.90
2.30,-13.54,0.30,0.53,3.37,3.80
2.07,-13.23,1.44,0.12,4.01,3.64
1.85,-12.86,2.39,-0.21,4.28,3.42
1.73,-12.61,3.55,-0.37,4.25,3.16
1.72,-12.48,4.64,-0.39,3.85,2.79
1.71,-12.45,5.68,-0.27,3.14,2.29
1.60,-12.07,6.46,-0.01,2.24,1.66
1.46,-11.22,6.65,0.38,1.38,0.94
1.23,-10.01,6.52,0.87,0.78,0.16
0.83,-8.66,6.29,1.48,0.46,-0.59
0.34,-7.66,5.95,2.16,0.25,-1.28
-0.08,-6.96,5.41,2.83,0.03,-1.98
-0.48,-6.38,4.76,3.53,-0.21,-2.72
-0.81,-6.73,3.76,4.02,-0.53,-3.66
-1.58,-6.39,2.77,4.26,-0.81,-4.55
-1.63,-7.68,1.96,4.40,-0.89,-5.35
-1.70,-10.19,1.31,4.62,-0.69,-6.18
-3.55,-13.52,2.16,4.65,-0.64,-7.18
-10.40,-12.01,-2.17,5.05,0.43,-8.12
-13.61,-9.11,-6.00,4.74,3.36,-7.01
-12.99,-9.08,-4.34,4.19,5.83,-5.37
-11.55,-9.47,-0.74,3.88,6.57,-3.77
-9.90,-10.21,1.04,3.57,5.45,-2.54
-9.07,-10.11,0.11,3.04,3.65,-1.58
-8.34,-9.87,-1.55,2.28,2.27,-0.67
-7.47,-9.66,-1.84,1.37,1.13,0.13
-6.44,-8.85,-1.67,0.41,-0.14,0.72
-5.34,-7.89,-1.95,-0.57,-1.31,1.18
-4.08,-7.70,-1.75,-1.52,-2.12,1.51
-3.41,-7.67,-1.06,-2.37,-2.65,1.64
-3.01,-7.48,-0.30,-3.09,-2.90,1.71
-2.75,-7.39,0.53,-3.67,-2.80,1.73
-2.60,-7.42,1.41,-4.06,-2.34,1.75
-2.64,-7.59,2.48,-4.28,-1.70,1.76
-2.95,-7.75,3.50,-4.43,-1.06,1.81
-3.06,-8.39,4.13,-4.45,-0.42,1.92
-3.37,-9.13,4.44,-4.54,0.11,2.08
-3.74,-9.93,5.27,-4.73,0.37,2.33
-3.97,-10.80,6.18,-4.80,0.22,2.61
-3.90,-11.19,6.63,-4.71,-0.26,2.88
-3.46,-11.23,6.67,-4.50,-0.84,3.12
