X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-4.11,-9.29,1.80,0.12,-0.37,-2.80
-4.02,-9.16,1.64,-0.02,-0.35,-2.43
-3.82,-9.33,1.44,-0.17,-0.29,-2.04
-3.63,-9.61,1.32,-0.34,-0.15,-1.66
-3.30,-9.79,1.43,-0.50,0.03,-1.32
-3.39,-9.36,1.61,-0.62,0.18,-1.06
-3.40,-9.18,1.79,-0.79,0.22,-0.73
-3.31,-9.22,1.86,-0.95,0.22,-0.35
-3.09,-9.49,1.89,-1.09,0.25,0.06
-2.83,-9.90,1.91,-1.18,0.30,0.44
-2.58,-10.25,1.90,-1.23,0.35,0.79
-2.35,-10.50,1.89,-1.24,0.41,1.11
-2.10,-10.63,1.82,-1.23,0.45,1.42
-1.81,-10.66,1.72,-1.23,0.50,1.70
-1.48,-10.68,1.60,-1.21,0.57,1.94
-1.13,-10.74,1.51,-1.19,0.65,2.10
-0.79,-10.84,1.51,-1.17,0.72,2.17
-0.51,-10.94,1.56,-1.15,0.74,2.15
-0.29,-10.98,1.65,-1.12,0.69,2.06
-0.11,-10.95,1.76,-1.07,0.58,1.90
0.05,-10.83,1.83,-1.00,0.42,1.70
0.19,-10.64,1.86,-0.90,0.25,1.47
0.30,-10.41,1.87,-0.79,0.11,1.22
0.33,-10.16,1.92,-0.65,0.01,0.95
0.31,-9.93,1.97,-0.49,-0.05,0.68
0.27,-9.83,2.08,-0.33,-0.09,0.39
0.17,-10.05,2.26,-0.15,-0.15,0.08
-0.06,-10.57,2.51,0.00,-0.28,-0.25
-0.42,-11.22,2.77,0.12,-0.49,-0.61
-0.91,-11.78,3.01,0.22,-0.74,-0.92
-1.40,-12.40,3.24,0.30,-0.91,-1.17
-1.87,-13.03,3.50,0.40,-0.96,-1.37
-2.29,-13.65,3.80,0.53,-0.86,-1.53
-2.67,-14.30,4.24,0.69,-0.69,-1.69
-3.19,-14.84,4.86,0.89,-0.55,-1.85
-3.83,-15.47,5.44,1.13,-0.55,-1.95
-4.59,-15.98,5.90,1.33,-0.70,-1.90
-5.32,-16.36,6.11,1.51,-0.87,-1.55
-5.52,-16.59,6.18,1.76,-0.82,-0.91
-5.41,-16.35,6.21,2.18,-0.42,-0.15
-5.30,-15.41,6.25,2.70,0.20,0.64
-5.12,-14.27,6.22,3.25,0.79,1.45
-4.69,-13.42,6.04,3.74,1.21,2.22
-4.16,-12.67,5.60,4.14,1.37,2.87
-3.45,-12.16,4.80,4.39,1.32,3.40
-2.74,-11.80,3.93,4.46,1.16,3.76
-2.07,-11.57,3.15,4.39,0.92,3.95
-1.53,-11.26,2.42,4.20,0.63,3.96
-1.16,-10.71,1.79,3.89,0.31,3.86
-0.88,-9.95,1.25,3.49,0.03,3.69
-0.65,-8.97,0.86,3.04,-0.15,3.47
-0.58,-7.87,0.73,2.57,-0.22,3.22
-0.71,-6.82,0.90,2.11,-0.26,2.95
-0.93,-5.84,1.24,1.69,-0.32,2.71
-1.17,-4.95,1.54,1.33,-0.41,2.50
-1.38,-4.22,1.75,1.01,-0.51,2.33
-1.51,-3.69,1.84,0.72,-0.58,2.20
-1.58,-3.24,1.91,0.44,-0.58,2.10
-1.62,-2.69,1.97,0.19,-0.53,2.01
-1.70,-2.31,2.15,-0.08,-0.48,1.92
-1.75,-2.25,2.39,-0.32,-0.45,1.82
-1.93,-2.13,2.73,-0.55,-0.46,1.73
-2.12,-1.87,2.98,-0.76,-0.51,1.69
-2.31,-1.44,3.18,-0.93,-0.51,1.72
-2.57,-0.89,3.37,-1.06,-0.48,1.84
-2.72,-0.45,3.37,-1.20,-0.44,2.07
-2.62,-0.32,3.04,-1.37,-0.29,2.38
-2.35,-0.60,2.52,-1.60,0.03,2.74
-2.03,-1.27,1.99,-1.90,0.52,3.09
-1.69,-2.27,1.53,-2.27,1.13,3.41
-1.35,-3.44,1.24,-2.71,1.80,3.66
-1.12,-4.72,1.18,-3.16,2.46,3.80
-0.97,-6.10,1.35,-3.61,3.00,3.84
-0.85,-7.47,1.70,-4.03,3.31,3.75
-0.58,-8.92,2.01,-4.36,3.38,3.53
-0.29,-10.14,2.36,-4.59,3.21,3.15
0.27,-10.77,2.56,-4.69,2.85,2.58
0.73,-10.72,2.95,-4.57,2.59,1.72
0.49,-10.13,4.12,-4.23,2.41,0.65
-0.13,-9.35,5.58,-3.58,2.11,-0.51
-0.86,-8.63,6.82,-2.72,1.60,-1.71
-1.65,-8.27,7.70,-1.67,1.00,-2.88
