X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-0.03,0.74,8.48,-0.03,0.04,0.06
-0.03,0.73,8.49,-0.05,0.04,0.08
-0.02,0.78,8.48,-0.07,0.04,0.09
-0.03,0.75,8.48,-0.10,0.04,0.11
-0.04,0.72,8.47,-0.13,0.04,0.14
-0.06,0.72,8.46,-0.17,0.04,0.18
-0.06,0.74,8.44,-0.26,0.04,0.19
-0.02,0.79,8.44,-0.38,0.04,0.22
-0.02,0.76,8.45,-0.50,0.05,0.26
-0.02,0.65,8.48,-0.60,0.05,0.29
0.02,0.50,8.48,-0.65,0.07,0.33
0.07,0.32,8.47,-0.67,0.13,0.35
0.07,0.17,8.48,-0.66,0.20,0.36
-0.00,0.07,8.50,-0.62,0.27,0.36
-0.07,-0.00,8.55,-0.54,0.31,0.36
-0.18,-0.08,8.56,-0.45,0.31,0.37
-0.25,-0.14,8.58,-0.35,0.28,0.38
-0.29,-0.17,8.59,-0.26,0.21,0.38
-0.29,-0.24,8.59,-0.18,0.13,0.38
-0.24,-0.35,8.57,-0.11,0.05,0.36
-0.20,-0.48,8.54,-0.06,0.01,0.33
-0.15,-0.64,8.51,-0.03,-0.01,0.30
-0.03,-0.83,8.48,-0.04,0.00,0.25
0.04,-1.01,8.43,-0.09,0.04,0.19
0.03,-1.06,8.42,-0.19,0.08,0.13
-0.05,-0.96,8.37,-0.32,0.14,0.10
-0.13,-0.87,8.37,-0.47,0.21,0.08
-0.22,-0.74,8.38,-0.62,0.31,0.10
-0.25,-0.69,8.31,-0.77,0.41,0.15
-0.28,-0.73,8.31,-0.91,0.53,0.21
-0.28,-0.97,8.26,-1.06,0.67,0.26
-0.32,-1.36,8.19,-1.22,0.85,0.29
-0.40,-1.78,8.03,-1.37,1.06,0.29
-0.52,-2.06,7.97,-1.51,1.27,0.27
-0.74,-2.09,7.90,-1.65,1.45,0.22
-1.30,-1.99,9.09,-1.68,1.40,0.20
-1.44,-2.09,8.78,-1.79,1.15,0.18
-1.58,-2.13,8.60,-1.96,0.91,0.17
-1.64,-2.36,8.36,-2.16,0.70,0.18
-1.65,-2.82,8.10,-2.36,0.60,0.18
-1.64,-3.49,8.00,-2.57,0.66,0.18
-1.63,-4.34,7.63,-2.75,0.86,0.15
-1.44,-5.20,6.75,-2.97,1.26,0.08
-1.51,-5.89,6.08,-3.19,1.78,-0.00
-1.81,-6.73,6.03,-3.43,2.46,-0.13
-1.95,-7.53,5.10,-3.63,3.22,-0.34
-2.00,-8.05,3.86,-3.76,4.02,-0.67
-2.55,-8.62,3.35,-3.86,4.91,-1.09
-3.01,-8.99,2.72,-3.87,5.53,-1.53
-3.75,-9.23,3.03,-3.87,5.72,-1.97
-4.47,-9.24,3.67,-3.80,5.39,-2.31
-5.00,-9.11,4.36,-3.61,4.63,-2.53
-5.44,-8.88,4.83,-3.32,3.53,-2.62
-5.67,-8.62,4.99,-2.96,2.28,-2.55
-5.75,-8.34,4.75,-2.57,1.11,-2.39
-5.74,-8.02,4.26,-2.18,0.14,-2.17
-5.61,-7.78,3.64,-1.84,-0.56,-1.90
-5.48,-7.64,3.00,-1.58,-0.95,-1.63
-5.70,-7.51,2.45,-1.39,-1.10,-1.37
-6.02,-7.19,2.12,-1.24,-0.90,-1.01
-6.16,-7.18,2.30,-1.09,-0.64,-0.61
-6.06,-7.35,2.51,-0.89,-0.50,-0.21
-5.70,-7.55,2.68,-0.64,-0.46,0.18
-5.09,-7.70,2.76,-0.34,-0.43,0.50
-4.53,-7.73,2.35,0.02,-0.41,0.73
-4.10,-7.84,2.10,0.26,-0.44,0.88
-3.71,-7.76,1.89,0.54,-0.41,1.00
-3.29,-7.75,1.59,0.81,-0.30,1.05
-2.98,-7.75,1.34,1.06,-0.18,1.05
-2.75,-7.78,1.15,1.26,-0.12,0.99
-2.61,-7.76,1.01,1.38,-0.16,0.89
-2.53,-7.71,0.85,1.42,-0.29,0.75
-2.49,-7.66,0.62,1.35,-0.49,0.56
-2.52,-7.59,0.49,1.18,-0.68,0.36
-2.63,-7.52,0.49,0.97,-0.83,0.15
-2.77,-7.49,0.57,0.77,-0.95,-0.03
-2.91,-7.45,0.66,0.60,-1.02,-0.20
-3.06,-7.40,0.70,0.44,-1.06,-0.34
-3.18,-7.45,0.69,0.28,-1.04,-0.46
-3.32,-7.60,0.61,0.08,-0.97,-0.56
-3.52,-7.75,0.57,-0.20,-0.85,-0.64
-3.75,-8.02,0.70,-0.50,-0.66,-0.67
-4.00,-8.36,1.00,-0.78,-0.46,-0.65
-4.27,-8.70,1.46,-0.99,-0.30,-0.58
-4.51,-8.99,1.94,-1.11,-0.24,-0.47
-4.70,-9.23,2.35,-1.15,-0.29,-0.32
-4.82,-9.36,2.62,-1.15,-0.43,-0.14
-4.83,-9.43,2.72,-1.14,-0.62,0.04
-4.80,-9.45,2.72,-1.14,-0.79,0.21
-4.71,-9.50,2.71,-1.13,-0.90,0.38
-4.59,-9.61,2.78,-1.09,-0.92,0.52
-4.47,-9.72,2.93,-0.98,-0.88,0.64
-4.41,-9.76,3.12,-0.80,-0.84,0.72
-4.33,-9.73,3.28,-0.57,-0.85,0.78
-4.26,-9.58,3.40,-0.30,-0.91,0.81
-4.18,-9.37,3.40,-0.00,-1.02,0.82
-4.11,-9.10,3.30,0.29,-1.19,0.80
-4.02,-8.85,3.04,0.56,-1.38,0.78
-3.95,-8.61,2.62,0.74,-1.56,0.76
-3.90,-8.39,2.15,0.81,-1.69,0.76
-3.84,-8.24,1.71,0.77,-1.71,0.78
-3.79,-8.11,1.41,0.66,-1.64,0.84
-3.75,-8.00,1.25,0.50,-1.53,0.91
-3.72,-7.90,1.27,0.34,-1.41,0.99
-3.70,-7.79,1.37,0.21,-1.32,1.08
-3.68,-7.67,1.47,0.11,-1.29,1.18
-3.61,-7.58,1.55,0.05,-1.30,1.28
-3.47,-7.47,1.50,0.02,-1.36,1.38
-3.29,-7.34,1.34,-0.02,-1.45,1.46
-3.08,-7.26,1.02,-0.13,-1.55,1.51
-2.88,-7.25,0.69,-0.34,-1.63,1.54
-2.70,-7.30,0.44,-0.60,-1.64,1.56
-2.56,-7.37,0.35,-0.89,-1.60,1.58
-2.48,-7.41,0.45,-1.14,-1.54,1.59
-2.39,-7.45,0.63,-1.31,-1.51,1.61
-2.29,-7.37,0.77,-1.42,-1.53,1.61
-2.17,-7.16,0.84,-1.47,-1.58,1.59
-2.04,-6.89,0.79,-1.48,-1.62,1.54
-1.88,-6.61,0.69,-1.47,-1.65,1.49
-1.68,-6.44,0.54,-1.47,-1.64,1.42
-1.49,-6.36,0.42,-1.50,-1.61,1.33
-1.30,-6.41,0.32,-1.54,-1.57,1.22
-1.21,-6.45,0.34,-1.59,-1.55,1.10
-1.12,-6.58,0.43,-1.62,-1.57,0.97
-1.06,-6.75,0.45,-1.69,-1.66,0.82
-1.04,-6.96,0.46,-1.77,-1.78,0.66
-0.96,-7.24,0.46,-1.86,-1.88,0.49
-0.92,-7.50,0.47,-1.97,-1.95,0.30
-0.90,-7.76,0.52,-2.08,-1.99,0.09
-0.94,-8.00,0.63,-2.19,-2.02,-0.11
-1.04,-8.18,0.79,-2.29,-2.06,-0.31
-1.12,-8.29,0.94,-2.34,-2.10,-0.48
-1.29,-8.12,1.05,-2.38,-2.15,-0.63
-1.41,-7.84,1.03,-2.40,-2.21,-0.75
-1.53,-7.64,0.87,-2.43,-2.16,-0.83
-1.64,-7.61,0.74,-2.44,-1.93,-0.85
-1.72,-7.80,0.70,-2.43,-1.55,-0.82
-1.83,-8.21,0.88,-2.41,-1.14,-0.74
-1.83,-8.78,1.12,-2.37,-0.81,-0.64
-1.74,-9.39,1.26,-2.32,-0.61,-0.52
-1.53,-10.13,1.35,-2.27,-0.48,-0.45
-1.50,-10.49,1.65,-2.19,-0.41,-0.41
-1.67,-10.66,2.15,-2.04,-0.49,-0.37
-1.73,-10.96,2.57,-1.80,-0.80,-0.32
-1.70,-11.13,2.69,-1.54,-1.28,-0.27
-1.50,-11.32,2.58,-1.28,-1.79,-0.24
-1.19,-11.56,2.27,-1.03,-2.20,-0.25
-0.90,-11.76,1.91,-0.79,-2.45,-0.31
-0.75,-11.90,1.64,-0.55,-2.53,-0.36
-0.56,-11.92,1.37,-0.32,-2.50,-0.41
