X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-3.42,-7.36,3.75,0.79,-0.64,-1.13
-3.59,-7.26,3.48,0.80,-0.68,-1.03
-3.70,-7.32,3.24,0.77,-0.72,-0.89
-3.75,-7.51,2.96,0.70,-0.76,-0.71
-3.70,-7.83,2.67,0.58,-0.76,-0.50
-3.61,-8.02,2.41,0.42,-0.70,-0.26
-3.50,-8.03,2.24,0.22,-0.63,-0.02
-3.37,-7.99,2.15,-0.03,-0.56,0.21
-3.21,-8.05,2.15,-0.30,-0.52,0.43
-3.02,-8.17,2.23,-0.58,-0.52,0.59
-2.84,-8.33,2.38,-0.86,-0.54,0.72
-2.34,-8.53,2.28,-1.09,-0.49,0.79
-1.93,-8.49,2.17,-1.30,-0.22,0.78
-1.75,-8.42,2.45,-1.46,0.20,0.71
-1.55,-8.31,2.91,-1.53,0.67,0.59
-1.71,-8.11,3.51,-1.50,1.15,0.44
-1.81,-8.15,4.28,-1.41,1.47,0.30
-2.06,-8.31,5.06,-1.25,1.55,0.15
-2.30,-8.58,5.70,-1.04,1.34,0.05
-2.36,-8.87,5.97,-0.79,0.93,-0.02
-2.34,-8.86,5.83,-0.57,0.45,-0.12
-2.37,-8.68,5.54,-0.36,0.04,-0.24
-2.49,-8.53,5.23,-0.17,-0.29,-0.36
-2.74,-8.65,4.97,0.00,-0.58,-0.46
-2.93,-9.09,4.64,0.14,-0.83,-0.50
-2.96,-9.45,4.17,0.23,-1.02,-0.51
-2.96,-9.64,3.71,0.26,-1.04,-0.50
-2.98,-9.79,3.34,0.25,-0.91,-0.46
-3.07,-9.89,3.26,0.22,-0.70,-0.39
-3.24,-9.97,3.42,0.17,-0.48,-0.32
-3.51,-9.93,3.76,0.14,-0.31,-0.25
-3.94,-9.87,4.24,0.17,-0.24,-0.12
-4.32,-9.90,4.68,0.24,-0.28,0.10
-4.56,-9.88,4.93,0.36,-0.40,0.39
-4.55,-9.89,4.92,0.52,-0.50,0.72
-4.38,-9.93,4.76,0.67,-0.53,1.04
-4.16,-9.90,4.59,0.82,-0.50,1.35
