X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-0.95,-10.41,0.34,-0.05,0.53,1.58
-0.63,-9.93,-0.17,-0.05,0.47,1.60
-0.60,-9.48,-0.33,-0.10,0.56,1.57
-0.32,-9.79,-0.38,-0.06,0.82,1.53
-0.18,-10.13,-0.31,0.05,1.11,1.45
-0.15,-10.20,-0.13,0.18,1.32,1.38
-0.19,-10.19,0.24,0.39,1.39,1.33
-0.16,-10.12,0.35,0.59,1.25,1.25
-0.12,-9.99,0.32,0.70,0.94,1.16
-0.02,-9.92,-0.01,0.73,0.59,1.06
0.18,-9.98,-0.46,0.65,0.33,0.94
0.40,-10.01,-0.76,0.54,0.24,0.78
0.45,-9.72,-0.88,0.45,0.31,0.57
0.33,-9.35,-0.85,0.36,0.42,0.36
0.23,-9.23,-0.63,0.28,0.48,0.14
0.08,-9.19,-0.37,0.23,0.44,-0.09
-0.07,-9.22,-0.16,0.19,0.28,-0.32
-0.23,-9.27,-0.03,0.16,0.06,-0.55
-0.42,-9.21,0.03,0.11,-0.18,-0.75
-0.62,-9.10,0.03,0.06,-0.39,-0.92
-0.82,-8.97,-0.00,0.03,-0.52,-1.06
-1.01,-8.92,-0.08,-0.00,-0.56,-1.14
-1.16,-8.97,-0.14,-0.04,-0.53,-1.18
-1.29,-9.02,-0.14,-0.08,-0.43,-1.18
-1.40,-9.07,-0.07,-0.10,-0.29,-1.15
-1.53,-9.09,0.06,-0.10,-0.15,-1.09
-1.62,-9.15,0.19,-0.07,-0.06,-1.00
-1.65,-9.30,0.31,-0.03,-0.01,-0.89
-1.68,-9.40,0.40,0.01,-0.01,-0.78
-1.70,-9.43,0.40,0.04,-0.06,-0.64
-1.68,-9.40,0.30,0.05,-0.12,-0.49
-1.60,-9.31,0.12,0.03,-0.15,-0.33
-1.44,-9.33,-0.05,-0.00,-0.10,-0.17
-1.27,-9.39,-0.17,-0.04,-0.01,-0.04
-1.12,-9.44,-0.20,-0.09,0.09,0.06
-0.97,-9.53,-0.17,-0.13,0.17,0.13
-0.85,-9.67,-0.14,-0.17,0.21,0.17
-0.74,-9.79,-0.09,-0.23,0.19,0.18
-0.69,-9.80,-0.01,-0.27,0.15,0.17
-0.68,-9.71,0.06,-0.30,0.08,0.14
-0.69,-9.59,0.09,-0.31,0.01,0.11
-0.66,-9.55,0.08,-0.32,-0.03,0.08
-0.63,-9.55,0.04,-0.32,-0.04,0.05
-0.64,-9.53,0.07,-0.32,-0.02,0.01
-0.65,-9.54,0.12,-0.30,0.01,-0.02
-0.66,-9.56,0.20,-0.28,0.01,-0.05
-0.68,-9.57,0.24,-0.25,-0.00,-0.08
-0.66,-9.59,0.27,-0.21,-0.03,-0.10
-0.66,-9.59,0.25,-0.17,-0.05,-0.12
-0.64,-9.59,0.24,-0.13,-0.07,-0.14
-0.61,-9.60,0.20,-0.09,-0.07,-0.16
-0.57,-9.57,0.19,-0.04,-0.06,-0.19
-0.53,-9.55,0.21,0.03,-0.04,-0.22
-0.50,-9.57,0.20,0.10,-0.03,-0.28
-0.48,-9.58,0.17,0.17,-0.05,-0.33
-0.46,-9.58,0.13,0.22,-0.08,-0.40
-0.47,-9.56,0.07,0.27,-0.10,-0.46
-0.48,-9.57,0.00,0.30,-0.12,-0.52
-0.50,-9.61,-0.10,0.31,-0.12,-0.57
-0.55,-9.65,-0.17,0.29,-0.10,-0.60
-0.59,-9.67,-0.17,0.27,-0.05,-0.62
-0.66,-9.68,-0.12,0.26,0.01,-0.64
-0.74,-9.69,-0.00,0.26,0.05,-0.65
-0.86,-9.72,0.11,0.27,0.05,-0.65
-0.88,-9.90,0.02,0.26,0.01,-0.63
-0.91,-10.03,-0.02,0.22,-0.01,-0.60
-1.01,-10.09,-0.03,0.18,-0.00,-0.54
-0.80,-10.34,-0.35,0.12,0.07,-0.45
-0.65,-10.37,-0.61,0.04,0.27,-0.39
-0.54,-10.53,-0.65,-0.04,0.52,-0.33
-0.60,-10.67,-0.43,-0.10,0.73,-0.30
-0.68,-10.77,-0.06,-0.11,0.80,-0.26
-0.78,-10.76,0.26,-0.07,0.72,-0.24
-0.83,-10.78,0.50,0.01,0.52,-0.21
-0.90,-10.86,0.63,0.12,0.24,-0.19
-0.99,-10.96,0.69,0.24,-0.09,-0.16
-1.06,-11.07,0.59,0.36,-0.42,-0.12
-1.04,-10.84,0.10,0.36,-0.69,-0.10
-1.09,-10.55,-0.31,0.30,-0.75,0.01
-0.94,-10.56,-0.64,0.27,-0.54,0.16
-0.95,-10.53,-0.73,0.25,-0.21,0.33
-0.99,-10.50,-0.53,0.22,0.03,0.52
-1.09,-10.41,-0.20,0.19,0.08,0.68
-1.17,-10.34,0.12,0.18,-0.06,0.83
-1.16,-10.36,0.30,0.19,-0.32,0.97
-1.10,-10.40,0.34,0.22,-0.62,1.07
-1.13,-10.29,0.21,0.26,-0.90,1.15
-1.12,-10.22,-0.02,0.25,-1.11,1.25
-1.04,-10.17,-0.25,0.23,-1.20,1.35
-0.84,-9.99,-0.77,0.13,-1.18,1.39
-0.78,-9.82,-1.11,-0.08,-0.98,1.46
-0.53,-10.03,-1.26,-0.27,-0.58,1.53
-0.56,-10.11,-1.01,-0.39,-0.14,1.59
-0.66,-10.13,-0.45,-0.44,0.11,1.69
-0.84,-9.90,0.09,-0.48,0.02,1.74
-1.04,-9.57,0.56,-0.51,-0.35,1.80
-1.12,-9.24,0.71,-0.48,-0.85,1.84
-1.11,-8.94,0.42,-0.47,-1.31,1.88
-1.00,-8.75,-0.12,-0.49,-1.57,1.93
-0.78,-8.67,-0.64,-0.57,-1.55,1.97
-0.54,-8.60,-0.96,-0.67,-1.26,1.99
-0.35,-8.55,-1.01,-0.75,-0.82,1.97
-0.24,-8.48,-0.83,-0.81,-0.38,1.90
-0.18,-8.34,-0.47,-0.84,-0.08,1.79
-0.10,-8.19,-0.07,-0.83,0.03,1.64
-0.06,-8.00,0.24,-0.79,-0.06,1.43
-0.01,-7.84,0.41,-0.73,-0.29,1.20
0.01,-7.68,0.43,-0.67,-0.60,0.95
0.03,-7.51,0.24,-0.63,-0.90,0.70
0.08,-7.41,-0.07,-0.61,-1.08,0.46
0.17,-7.41,-0.38,-0.62,-1.09,0.22
0.21,-7.42,-0.59,-0.63,-0.93,-0.02
0.19,-7.52,-0.63,-0.65,-0.67,-0.25
0.12,-7.80,-0.49,-0.67,-0.42,-0.46
0.04,-8.19,-0.24,-0.66,-0.26,-0.68
-0.05,-8.55,0.03,-0.64,-0.20,-0.88
-0.14,-8.84,0.25,-0.58,-0.24,-1.08
-0.27,-9.06,0.42,-0.50,-0.32,-1.27
-0.39,-9.25,0.50,-0.39,-0.42,-1.43
-0.51,-9.46,0.45,-0.27,-0.52,-1.58
-0.62,-9.73,0.26,-0.20,-0.57,-1.68
-0.69,-10.01,0.03,-0.16,-0.54,-1.75
-0.74,-10.28,-0.17,-0.17,-0.40,-1.78
-0.79,-10.47,-0.27,-0.18,-0.17,-1.78
-0.88,-10.57,-0.25,-0.19,0.10,-1.76
-0.97,-10.63,-0.12,-0.16,0.39,-1.72
-1.07,-10.66,0.05,-0.10,0.62,-1.65
-1.14,-10.63,0.20,-0.03,0.79,-1.58
-1.22,-10.44,0.31,0.06,0.86,-1.49
-1.18,-10.26,0.33,0.15,0.90,-1.39
-1.06,-10.09,0.32,0.27,0.93,-1.32
-0.94,-9.90,0.27,0.41,0.96,-1.28
-0.82,-9.78,0.18,0.55,0.97,-1.26
-0.66,-9.71,0.11,0.68,0.95,-1.28
-0.55,-9.68,0.10,0.80,0.87,-1.32
-0.48,-9.69,0.05,0.90,0.72,-1.39
