X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-1.97,7.97,3.47,0.05,0.09,-0.11
-2.02,7.99,3.35,0.06,0.11,-0.13
-2.12,7.99,3.33,0.06,0.12,-0.14
-2.21,7.95,3.40,0.07,0.12,-0.16
-2.25,7.88,3.52,0.07,0.14,-0.17
-2.31,7.85,3.58,0.09,0.15,-0.18
-2.37,7.85,3.57,0.11,0.19,-0.19
-2.39,7.88,3.45,0.13,0.21,-0.20
-2.42,7.92,3.32,0.13,0.23,-0.20
-2.50,7.95,3.21,0.12,0.23,-0.21
-2.64,7.96,3.19,0.11,0.20,-0.22
-2.74,7.93,3.29,0.10,0.14,-0.22
-2.75,7.90,3.37,0.08,0.09,-0.22
-2.74,7.90,3.40,0.07,0.06,-0.23
-2.72,7.90,3.34,0.07,0.07,-0.23
-2.71,7.92,3.18,0.07,0.11,-0.23
-2.72,7.94,3.10,0.06,0.16,-0.22
-2.88,7.96,3.12,0.06,0.20,-0.21
-3.10,7.92,3.21,0.06,0.21,-0.19
-3.23,7.87,3.29,0.06,0.18,-0.17
-3.24,7.84,3.36,0.05,0.13,-0.16
-3.23,7.83,3.38,0.05,0.09,-0.16
-3.25,7.83,3.33,0.05,0.07,-0.16
-3.25,7.85,3.20,0.04,0.07,-0.15
-3.22,7.89,3.07,0.03,0.09,-0.14
-3.20,7.93,3.06,0.02,0.11,-0.13
-3.21,7.93,3.12,0.03,0.13,-0.12
-3.23,7.94,3.21,0.03,0.12,-0.12
-3.22,7.94,3.31,0.04,0.09,-0.12
-3.20,7.95,3.34,0.05,0.06,-0.13
-3.17,7.97,3.32,0.06,0.03,-0.15
-3.11,7.99,3.28,0.07,0.02,-0.16
-3.06,7.99,3.27,0.08,0.01,-0.17
-2.98,7.97,3.29,0.10,0.02,-0.18
-2.93,7.96,3.32,0.14,0.06,-0.20
-2.95,7.95,3.33,0.18,0.13,-0.22
-2.99,7.94,3.32,0.23,0.22,-0.24
-3.07,7.95,3.29,0.28,0.32,-0.25
-3.21,8.01,3.19,0.32,0.41,-0.26
-3.41,8.09,3.02,0.36,0.46,-0.26
-3.67,8.15,2.90,0.38,0.46,-0.25
-3.95,8.22,2.78,0.38,0.43,-0.24
-4.17,8.31,2.66,0.38,0.38,-0.22
-4.35,8.41,2.55,0.37,0.34,-0.19
-4.54,8.55,2.43,0.37,0.33,-0.15
-4.77,8.68,2.34,0.37,0.33,-0.10
-5.04,8.80,2.23,0.38,0.35,-0.04
-5.34,8.91,2.09,0.38,0.36,0.04
-5.72,9.02,1.97,0.38,0.35,0.14
-6.14,9.09,1.82,0.37,0.33,0.25
-6.58,9.16,1.64,0.34,0.29,0.37
-7.04,9.23,1.36,0.31,0.26,0.52
-7.50,9.30,1.12,0.25,0.23,0.70
-7.96,9.31,0.91,0.19,0.22,0.91
-8.37,9.25,0.72,0.11,0.23,1.15
-8.69,9.15,0.40,0.02,0.27,1.41
-8.91,9.17,-0.03,-0.09,0.34,1.71
-9.06,9.33,-0.30,-0.22,0.40,2.03
-9.13,9.38,-0.30,-0.37,0.46,2.38
-8.99,9.13,-0.14,-0.53,0.47,2.74
-8.49,8.65,0.16,-0.70,0.42,3.11
-7.83,8.14,0.54,-0.86,0.36,3.46
-7.18,7.67,0.81,-0.97,0.32,3.85
-6.32,7.08,0.96,-1.06,0.34,4.22
-5.31,6.50,1.13,-1.13,0.36,4.53
-4.26,5.99,1.28,-1.20,0.32,4.77
-3.21,5.45,1.35,-1.26,0.28,4.96
-2.16,4.90,1.37,-1.32,0.28,5.12
-1.10,4.28,1.51,-1.35,0.35,5.25
-0.12,3.60,1.80,-1.36,0.51,5.36
0.66,2.87,2.29,-1.34,0.72,5.45
1.38,2.14,2.77,-1.32,0.93,5.52
2.04,1.52,3.14,-1.31,1.12,5.55
2.63,1.09,3.44,-1.33,1.28,5.56
3.20,0.69,3.85,-1.35,1.45,5.54
3.74,0.24,4.39,-1.37,1.56,5.48
4.37,-0.33,4.89,-1.42,1.62,5.37
5.07,-0.97,5.43,-1.45,1.63,5.23
5.85,-1.59,5.93,-1.46,1.62,5.05
6.57,-2.12,6.48,-1.44,1.61,4.84
7.13,-2.50,7.01,-1.39,1.58,4.58
7.48,-2.71,7.48,-1.33,1.57,4.30
7.64,-2.78,7.97,-1.25,1.54,4.02
7.82,-2.87,8.57,-1.19,1.44,3.74
8.34,-3.11,9.30,-1.13,1.24,3.44
9.15,-3.51,10.15,-1.06,0.96,3.08
10.12,-3.91,10.81,-0.94,0.69,2.65
10.93,-4.12,11.24,-0.75,0.49,2.18
11.35,-4.03,11.46,-0.51,0.34,1.67
11.57,-3.75,11.42,-0.28,0.18,1.15
11.77,-3.39,11.35,-0.08,-0.04,0.64
11.88,-3.04,11.18,0.10,-0.28,0.12
11.78,-2.74,10.99,0.26,-0.52,-0.38
11.39,-2.47,10.78,0.42,-0.75,-0.85
10.81,-2.17,10.63,0.57,-0.99,-1.28
10.14,-1.86,10.41,0.71,-1.23,-1.65
9.51,-1.61,10.07,0.83,-1.47,-1.99
8.94,-1.42,9.66,0.92,-1.73,-2.31
8.59,-1.32,9.12,0.99,-1.98,-2.59
8.38,-1.26,8.58,1.06,-2.20,-2.88
8.20,-1.20,8.09,1.12,-2.37,-3.16
8.06,-1.17,7.67,1.19,-2.50,-3.44
7.76,-1.09,7.12,1.26,-2.56,-3.72
7.24,-0.92,6.40,1.34,-2.53,-3.97
6.61,-0.63,5.64,1.43,-2.43,-4.17
5.88,-0.23,4.87,1.49,-2.31,-4.32
5.15,0.22,4.26,1.53,-2.20,-4.41
4.49,0.67,3.80,1.54,-2.12,-4.47
3.90,1.06,3.34,1.52,-2.10,-4.51
3.34,1.41,2.84,1.46,-2.10,-4.55
2.77,1.76,2.31,1.38,-2.11,-4.60
2.17,2.14,1.81,1.27,-2.10,-4.64
1.54,2.62,1.35,1.15,-2.08,-4.65
0.96,3.11,0.99,1.02,-2.06,-4.63
