X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-8.80,2.75,-0.58,-0.06,0.03,-0.08
-8.75,2.74,-0.62,-0.05,0.07,-0.09
-8.75,2.76,-0.68,-0.04,0.10,-0.10
-8.83,2.77,-0.73,-0.03,0.11,-0.10
-8.94,2.73,-0.70,-0.03,0.10,-0.11
-8.99,2.67,-0.65,-0.03,0.06,-0.11
-8.98,2.65,-0.63,-0.03,0.04,-0.11
-8.97,2.65,-0.63,-0.03,0.03,-0.11
-8.96,2.66,-0.66,-0.03,0.03,-0.11
-8.96,2.67,-0.70,-0.02,0.04,-0.11
-8.95,2.68,-0.74,-0.02,0.04,-0.10
-8.96,2.69,-0.76,-0.02,0.04,-0.10
-9.00,2.67,-0.78,-0.02,0.04,-0.10
-9.03,2.63,-0.78,-0.02,0.02,-0.11
-9.02,2.60,-0.76,-0.02,0.02,-0.11
-9.01,2.58,-0.74,-0.02,0.02,-0.11
-9.02,2.60,-0.73,-0.01,0.04,-0.11
-9.06,2.63,-0.78,-0.00,0.06,-0.11
-9.11,2.65,-0.82,-0.00,0.06,-0.10
-9.16,2.66,-0.84,-0.00,0.07,-0.10
-9.20,2.65,-0.84,-0.01,0.06,-0.10
-9.28,2.64,-0.80,-0.01,0.05,-0.10
-9.32,2.65,-0.77,-0.01,0.04,-0.09
-9.35,2.67,-0.78,-0.00,0.03,-0.08
-9.41,2.71,-0.85,0.00,0.04,-0.08
-9.50,2.74,-0.91,0.01,0.05,-0.06
-9.59,2.77,-0.97,0.01,0.06,-0.05
-9.68,2.83,-1.05,0.02,0.08,-0.04
-9.84,2.96,-1.15,0.03,0.11,-0.03
-10.19,3.15,-1.30,0.04,0.14,-0.01
-10.66,3.37,-1.47,0.05,0.15,0.04
-11.09,3.58,-1.56,0.04,0.15,0.09
-11.44,3.73,-1.67,0.03,0.13,0.16
-11.84,3.87,-1.88,0.02,0.13,0.23
-12.24,3.99,-2.01,0.01,0.16,0.33
-12.64,4.13,-2.19,-0.00,0.20,0.44
-13.04,4.25,-2.41,-0.01,0.24,0.57
-13.43,4.38,-2.66,-0.03,0.30,0.72
-13.75,4.46,-2.88,-0.05,0.35,0.89
-13.95,4.47,-3.09,-0.09,0.36,1.07
-14.07,4.43,-3.37,-0.12,0.36,1.25
-14.15,4.36,-3.59,-0.17,0.36,1.44
-14.16,4.26,-3.73,-0.22,0.38,1.64
-14.05,4.15,-3.79,-0.28,0.38,1.85
-13.83,4.05,-3.88,-0.34,0.35,2.06
-13.57,3.96,-4.01,-0.41,0.33,2.26
-13.32,3.83,-4.08,-0.48,0.31,2.45
-12.99,3.70,-4.10,-0.55,0.31,2.64
-12.51,3.61,-4.05,-0.63,0.28,2.81
-11.97,3.54,-4.02,-0.71,0.23,2.96
-11.43,3.43,-3.99,-0.79,0.16,3.08
-10.88,3.30,-3.86,-0.88,0.09,3.19
-10.29,3.25,-3.64,-0.96,0.01,3.26
-9.74,3.29,-3.37,-1.02,-0.06,3.32
-9.32,3.37,-3.20,-1.05,-0.11,3.38
-8.99,3.43,-3.16,-1.08,-0.11,3.43
-8.66,3.47,-3.08,-1.10,-0.09,3.49
-8.38,3.57,-2.92,-1.12,-0.07,3.54
-8.13,3.64,-2.70,-1.16,-0.07,3.59
-7.81,3.61,-2.45,-1.19,-0.11,3.65
-7.47,3.50,-2.17,-1.23,-0.19,3.70
