X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-4.82,8.21,0.66,-0.06,0.05,0.00
-4.81,8.22,0.68,-0.04,0.09,0.01
-4.83,8.23,0.63,-0.02,0.12,0.01
-4.89,8.24,0.51,-0.02,0.14,0.02
-4.94,8.24,0.43,-0.04,0.12,0.03
-4.91,8.22,0.48,-0.06,0.07,0.03
-4.83,8.17,0.63,-0.08,0.03,0.04
-4.75,8.11,0.77,-0.09,-0.00,0.04
-4.71,8.09,0.82,-0.08,-0.00,0.04
-4.68,8.08,0.83,-0.07,0.01,0.04
-4.64,8.08,0.81,-0.06,0.04,0.04
-4.59,8.08,0.73,-0.05,0.06,0.04
-4.55,8.11,0.66,-0.05,0.07,0.03
-4.53,8.12,0.68,-0.06,0.06,0.02
-4.55,8.08,0.74,-0.06,0.03,0.01
-4.58,8.02,0.84,-0.07,0.01,0.01
-4.59,7.97,0.91,-0.06,-0.00,0.00
-4.55,7.94,0.93,-0.05,0.01,0.00
-4.49,7.96,0.90,-0.04,0.04,-0.00
-4.45,8.00,0.84,-0.03,0.07,-0.01
-4.47,8.04,0.81,-0.02,0.10,-0.01
-4.54,8.06,0.79,-0.02,0.10,-0.02
-4.58,8.10,0.79,-0.02,0.08,-0.02
-4.57,8.13,0.84,-0.03,0.05,-0.02
-4.54,8.15,0.88,-0.03,0.04,-0.03
-4.57,8.16,0.89,-0.03,0.03,-0.03
-4.63,8.17,0.89,-0.03,0.04,-0.04
-4.64,8.20,0.86,-0.02,0.05,-0.04
-4.62,8.22,0.85,-0.02,0.05,-0.04
-4.62,8.26,0.82,-0.01,0.05,-0.04
-4.68,8.32,0.81,0.01,0.05,-0.05
-4.82,8.42,0.82,0.02,0.06,-0.05
-4.93,8.57,0.82,0.03,0.06,-0.05
-5.01,8.80,0.75,0.05,0.07,-0.04
-5.12,9.10,0.57,0.07,0.11,-0.03
-5.36,9.47,0.32,0.10,0.17,-0.02
-5.74,9.91,0.09,0.12,0.23,0.00
-6.20,10.38,-0.05,0.15,0.28,0.04
-6.70,10.78,-0.17,0.17,0.32,0.11
-7.23,11.02,-0.33,0.19,0.33,0.20
-7.75,11.12,-0.52,0.18,0.32,0.32
-8.17,11.14,-0.76,0.17,0.29,0.47
-8.43,11.10,-1.02,0.13,0.26,0.63
-8.50,11.00,-1.25,0.08,0.22,0.81
-8.39,10.81,-1.52,0.02,0.18,0.98
-8.15,10.56,-1.78,-0.05,0.14,1.14
-7.87,10.31,-1.97,-0.12,0.13,1.29
-7.62,10.09,-2.13,-0.17,0.14,1.42
-7.46,9.90,-2.18,-0.22,0.17,1.55
-7.42,9.69,-2.24,-0.27,0.21,1.67
-7.44,9.47,-2.38,-0.33,0.25,1.80
-7.47,9.27,-2.57,-0.42,0.27,1.94
-7.55,9.07,-2.74,-0.53,0.27,2.07
-7.65,8.81,-2.84,-0.67,0.23,2.22
-7.62,8.44,-2.82,-0.85,0.15,2.38
-7.43,7.99,-2.73,-1.05,0.05,2.54
-7.19,7.56,-2.64,-1.25,-0.04,2.72
-6.92,7.15,-2.57,-1.45,-0.10,2.91
-6.62,6.71,-2.43,-1.65,-0.15,3.11
-6.26,6.21,-2.24,-1.85,-0.18,3.31
-5.84,5.62,-2.05,-2.05,-0.22,3.52
-5.38,4.97,-1.82,-2.24,-0.26,3.72
-5.02,4.32,-1.66,-2.41,-0.27,3.92
-4.76,3.70,-1.38,-2.58,-0.27,4.11
-4.46,3.00,-0.99,-2.74,-0.30,4.32
-4.07,2.11,-0.43,-2.90,-0.39,4.53
-3.88,1.14,0.09,-3.05,-0.52,4.80
-3.23,-0.23,0.66,-3.18,-0.66,5.17
-2.17,-1.53,1.10,-3.22,-0.72,5.43
-1.18,-2.56,1.67,-3.21,-0.75,5.58
-0.38,-3.40,2.46,-3.15,-0.80,5.66
0.47,-4.27,3.60,-3.04,-0.88,5.72
1.90,-5.35,4.81,-2.89,-1.04,5.74
4.23,-6.59,5.66,-2.70,-1.22,5.64
6.96,-7.54,5.93,-2.43,-1.24,5.37
9.06,-7.67,5.85,-2.03,-0.87,4.98
10.03,-7.05,5.54,-1.56,-0.22,4.58
10.12,-6.28,5.28,-1.21,0.33,4.21
10.06,-5.93,5.65,-1.04,0.54,3.87
10.45,-6.11,6.48,-0.98,0.48,3.52
10.91,-6.37,7.50,-0.90,0.37,3.16
11.40,-6.51,8.37,-0.76,0.31,2.82
11.81,-6.54,9.03,-0.59,0.30,2.49
12.13,-6.59,9.63,-0.42,0.31,2.16
12.54,-6.79,10.17,-0.26,0.25,1.84
13.27,-7.16,10.54,-0.12,0.13,1.49
14.28,-7.53,10.68,0.02,0.03,1.10
15.26,-7.73,10.61,0.19,0.03,0.66
15.78,-7.61,10.36,0.39,0.11,0.17
15.68,-7.23,10.03,0.58,0.18,-0.34
15.11,-6.71,9.68,0.72,0.19,-0.83
14.37,-6.15,9.37,0.81,0.11,-1.28
13.63,-5.66,9.05,0.86,-0.06,-1.69
12.97,-5.31,8.75,0.88,-0.28,-2.09
12.43,-5.18,8.40,0.89,-0.51,-2.48
12.01,-5.18,8.02,0.90,-0.72,-2.88
11.62,-5.23,7.52,0.93,-0.84,-3.28
11.08,-5.21,7.00,1.00,-0.86,-3.68
10.40,-5.03,6.45,1.08,-0.79,-4.03
9.50,-4.78,5.95,1.18,-0.67,-4.36
8.41,-4.48,5.45,1.28,-0.56,-4.64
7.26,-4.14,5.00,1.36,-0.48,-4.86
6.23,-3.76,4.58,1.41,-0.44,-5.02
5.29,-3.37,4.23,1.44,-0.42,-5.16
4.35,-2.82,4.01,1.44,-0.42,-5.26
3.47,-2.24,3.95,1.43,-0.44,-5.33
2.68,-1.70,3.95,1.41,-0.51,-5.37
1.93,-1.22,3.92,1.38,-0.57,-5.39
1.25,-0.82,3.79,1.36,-0.58,-5.37
0.64,-0.47,3.53,1.37,-0.54,-5.31
0.07,-0.11,3.08,1.38,-0.44,-5.23
-0.51,0.33,2.56,1.41,-0.31,-5.14
-1.17,0.81,1.95,1.43,-0.18,-5.05
-1.93,1.35,1.52,1.43,-0.09,-4.95
-2.76,1.85,1.38,1.42,-0.02,-4.84
-3.61,2.26,1.44,1.41,-0.01,-4.74
-4.44,2.57,1.47,1.38,-0.03,-4.63
-5.22,2.89,1.46,1.35,-0.07,-4.51
-5.91,3.27,1.30,1.33,-0.09,-4.38
-6.50,3.74,0.98,1.30,-0.10,-4.23
-7.09,4.29,0.53,1.26,-0.09,-4.06
-7.72,4.86,0.11,1.21,-0.06,-3.88
-8.35,5.44,-0.39,1.14,-0.01,-3.68
-8.88,6.06,-0.85,1.06,0.03,-3.44
-9.28,6.76,-1.22,0.95,0.07,-3.18
-9.60,7.48,-1.54,0.84,0.12,-2.91
-9.90,8.14,-1.68,0.73,0.18,-2.64
-10.23,8.67,-1.72,0.63,0.26,-2.37
-10.62,9.11,-1.59,0.53,0.31,-2.09
-10.94,9.47,-1.43,0.43,0.30,-1.81
-10.98,9.76,-1.31,0.31,0.24,-1.53
-10.71,9.96,-1.22,0.17,0.13,-1.26
-10.20,10.07,-1.16,0.04,0.03,-1.03
-9.61,10.20,-1.00,-0.06,-0.04,-0.84
-9.02,10.38,-0.99,-0.13,-0.07,-0.69
-8.55,10.58,-0.86,-0.16,-0.05,-0.58
-8.36,10.77,-0.79,-0.14,-0.03,-0.50
-8.40,10.87,-0.72,-0.10,0.00,-0.43
-8.47,10.88,-0.57,-0.07,0.00,-0.36
-8.35,10.82,-0.41,-0.05,-0.00,-0.29
-8.09,10.68,-0.30,-0.02,0.01,-0.20
-7.82,10.49,-0.24,0.00,0.03,-0.12
-7.59,10.29,-0.20,0.02,0.07,-0.05
-7.40,10.10,-0.14,0.03,0.11,0.02
-7.23,9.90,-0.07,0.02,0.13,0.10
-7.08,9.62,-0.00,-0.00,0.11,0.17
-6.91,9.30,0.14,-0.03,0.08,0.23
-6.69,8.94,0.29,-0.07,0.04,0.29
-6.43,8.55,0.49,-0.11,0.00,0.33
-6.12,8.20,0.63,-0.15,-0.04,0.37
-5.78,7.89,0.70,-0.18,-0.07,0.40
-5.46,7.63,0.78,-0.21,-0.09,0.42
-5.21,7.40,0.86,-0.22,-0.09,0.42
-5.01,7.19,0.94,-0.23,-0.10,0.41
-4.80,7.06,1.02,-0.23,-0.11,0.40
-4.56,6.99,1.09,-0.23,-0.12,0.38
-4.32,6.93,1.20,-0.22,-0.12,0.35
-4.12,6.88,1.28,-0.20,-0.12,0.31
-4.00,6.90,1.32,-0.17,-0.09,0.26
-3.93,7.01,1.30,-0.13,-0.04,0.22
-3.90,7.17,1.29,-0.10,0.00,0.18
-3.90,7.34,1.29,-0.07,0.04,0.15
-3.96,7.49,1.29,-0.06,0.08,0.13
-4.10,7.60,1.30,-0.05,0.12,0.11
-4.26,7.69,1.33,-0.05,0.15,0.11
-4.38,7.77,1.40,-0.06,0.14,0.11
-4.42,7.83,1.41,-0.07,0.12,0.12
-4.40,7.86,1.41,-0.09,0.09,0.13
-4.38,7.89,1.44,-0.11,0.06,0.13
-4.35,7.90,1.49,-0.12,0.04,0.13
-4.33,7.90,1.55,-0.12,0.03,0.13
-4.38,7.91,1.58,-0.11,0.03,0.13
-4.46,7.94,1.58,-0.10,0.04,0.14
-4.52,7.97,1.54,-0.09,0.05,0.15
-4.52,8.02,1.51,-0.08,0.05,0.16
-4.47,8.07,1.46,-0.09,0.05,0.16
-4.43,8.10,1.42,-0.09,0.05,0.17
-4.43,8.12,1.39,-0.09,0.05,0.17
-4.46,8.14,1.40,-0.09,0.05,0.17
-4.45,8.13,1.41,-0.09,0.04,0.17
-4.42,8.11,1.41,-0.10,0.04,0.17
-4.38,8.10,1.41,-0.09,0.04,0.16
-4.35,8.07,1.42,-0.09,0.04,0.15
-4.30,8.05,1.43,-0.08,0.05,0.13
-4.25,8.03,1.46,-0.08,0.05,0.12
-4.27,8.02,1.51,-0.07,0.06,0.10
-4.35,8.02,1.58,-0.06,0.07,0.08
-4.43,8.02,1.59,-0.05,0.07,0.08
-4.46,8.02,1.58,-0.04,0.06,0.07
-4.45,8.01,1.57,-0.04,0.04,0.07
-4.41,8.01,1.56,-0.04,0.04,0.06
-4.37,8.04,1.55,-0.03,0.05,0.05
-4.32,8.09,1.52,-0.02,0.07,0.05
-4.31,8.13,1.53,-0.02,0.08,0.04
-4.36,8.10,1.53,-0.01,0.09,0.03
-4.43,8.06,1.52,-0.00,0.09,0.02
-4.43,8.04,1.53,-0.01,0.07,0.02
-4.37,8.04,1.52,-0.01,0.05,0.02
-4.32,8.05,1.50,-0.02,0.04,0.01
-4.32,8.07,1.49,-0.02,0.04,0.01
