X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-7.86,0.65,1.31,0.39,0.37,0.28
-7.63,0.70,1.41,0.34,0.29,0.15
-7.59,0.71,1.45,0.33,0.28,0.09
-7.57,0.73,1.47,0.34,0.30,0.04
-7.54,0.73,1.50,0.35,0.34,-0.00
-7.62,0.77,1.49,0.36,0.38,-0.04
-7.88,0.83,1.38,0.36,0.40,-0.06
-8.22,0.88,1.25,0.33,0.37,-0.07
-8.48,0.84,1.20,0.28,0.30,-0.06
-8.59,0.75,1.20,0.23,0.21,-0.05
-8.57,0.68,1.19,0.17,0.13,-0.03
-8.45,0.64,1.15,0.13,0.09,-0.02
-8.31,0.65,1.09,0.11,0.08,-0.01
-8.20,0.66,1.06,0.11,0.12,-0.02
-8.23,0.69,1.08,0.12,0.19,-0.03
-8.40,0.77,1.07,0.15,0.25,-0.03
-8.61,0.89,1.05,0.17,0.29,-0.03
-8.79,0.99,1.05,0.17,0.30,-0.01
-8.96,1.06,1.06,0.16,0.28,0.00
-9.05,1.12,1.09,0.14,0.26,0.01
-9.05,1.17,1.09,0.12,0.23,0.03
-9.00,1.19,1.09,0.10,0.23,0.04
-8.97,1.20,1.10,0.09,0.24,0.05
-8.98,1.22,1.10,0.09,0.28,0.05
-9.00,1.26,1.14,0.11,0.32,0.06
-9.00,1.32,1.21,0.12,0.35,0.06
-8.99,1.41,1.21,0.15,0.39,0.05
-8.95,1.49,1.15,0.17,0.41,0.03
-8.90,1.57,1.09,0.18,0.43,0.00
-8.86,1.66,1.14,0.21,0.46,-0.04
-8.81,1.80,1.20,0.27,0.53,-0.10
-8.71,1.99,1.19,0.35,0.64,-0.17
-8.54,2.22,1.06,0.46,0.84,-0.27
-8.44,2.47,0.91,0.60,1.11,-0.40
-8.66,2.75,0.51,0.77,1.43,-0.55
-9.22,2.94,0.12,0.92,1.75,-0.69
-10.04,3.01,-0.51,1.04,1.95,-0.80
-10.99,2.89,-0.95,1.11,2.01,-0.88
-12.22,2.60,-1.75,1.12,1.84,-0.94
-13.62,2.28,-2.37,1.04,1.54,-0.92
-14.60,1.93,-2.69,0.89,1.16,-0.83
-14.97,1.44,-2.83,0.73,0.85,-0.68
-14.79,0.85,-2.99,0.61,0.65,-0.53
-14.32,0.43,-3.36,0.51,0.58,-0.39
-13.85,0.18,-3.74,0.46,0.63,-0.24
-13.60,0.11,-4.23,0.42,0.79,-0.07
-13.64,0.19,-4.80,0.39,0.99,0.15
-14.01,0.41,-5.36,0.34,1.14,0.42
-14.55,0.70,-5.92,0.25,1.16,0.72
-15.02,0.92,-6.33,0.07,0.98,1.02
-15.32,0.93,-6.51,-0.15,0.65,1.30
-15.29,0.78,-6.45,-0.39,0.29,1.54
-14.90,0.55,-6.34,-0.58,0.03,1.75
-14.44,0.35,-6.22,-0.72,-0.08,1.94
-14.23,0.21,-6.22,-0.81,-0.09,2.15
-14.30,0.13,-6.17,-0.87,-0.08,2.38
-14.37,0.04,-5.82,-0.94,-0.06,2.63
-14.33,-0.17,-5.37,-0.98,-0.01,2.88
-14.23,-0.36,-5.11,-1.00,0.06,3.14
-14.03,-0.47,-5.04,-1.03,0.08,3.40
-13.69,-0.47,-5.12,-1.09,0.02,3.64
-13.29,-0.43,-5.21,-1.19,-0.14,3.85
-12.76,-0.55,-5.15,-1.33,-0.43,4.01
-11.99,-0.81,-4.91,-1.49,-0.78,4.12
-10.96,-0.97,-4.56,-1.62,-1.09,4.19
-9.84,-0.91,-4.24,-1.69,-1.29,4.22
-8.94,-0.68,-3.92,-1.70,-1.35,4.23
-8.35,-0.41,-3.64,-1.67,-1.28,4.25
-7.98,-0.14,-3.28,-1.60,-1.12,4.28
-7.74,0.14,-2.98,-1.53,-0.98,4.32
-7.49,0.40,-2.65,-1.49,-0.86,4.34
-7.17,0.66,-2.23,-1.45,-0.75,4.35
-6.93,0.92,-1.73,-1.41,-0.64,4.35
-6.86,1.17,-1.21,-1.35,-0.54,4.37
-6.81,1.44,-0.82,-1.30,-0.47,4.41
-6.53,1.77,-0.52,-1.27,-0.42,4.45
-6.04,2.18,-0.34,-1.26,-0.40,4.50
-5.47,2.66,-0.24,-1.26,-0.38,4.52
-4.87,3.05,-0.22,-1.28,-0.36,4.54
-4.21,3.29,-0.24,-1.33,-0.34,4.54
-3.54,3.45,-0.26,-1.41,-0.32,4.54
-2.96,3.55,-0.14,-1.52,-0.29,4.54
-2.53,3.52,0.00,-1.65,-0.26,4.55
-2.37,3.32,0.03,-1.82,-0.22,4.60
-3.14,3.11,-0.18,-2.08,-0.19,4.91
-3.12,1.79,-0.02,-2.38,-0.20,5.42
-2.96,0.38,0.27,-2.67,-0.29,5.76
-2.85,-1.15,0.83,-2.97,-0.59,6.04
-2.45,-3.03,1.52,-3.20,-0.99,6.26
-1.70,-5.05,2.26,-3.31,-1.35,6.44
-0.72,-6.88,2.66,-3.30,-1.61,6.57
0.19,-8.18,2.89,-3.19,-1.69,6.69
1.04,-9.12,2.80,-3.02,-1.66,6.78
