X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-4.28,7.74,1.80,-0.04,0.05,-0.11
-4.43,7.71,1.86,-0.05,0.07,-0.10
-4.53,7.64,1.99,-0.06,0.06,-0.09
-4.53,7.57,2.09,-0.06,0.03,-0.09
-4.49,7.58,2.11,-0.06,0.02,-0.10
-4.49,7.62,2.06,-0.06,0.01,-0.11
-4.52,7.68,2.01,-0.05,0.02,-0.11
-4.55,7.71,1.92,-0.05,0.03,-0.10
-4.56,7.75,1.87,-0.05,0.05,-0.09
-4.57,7.75,1.92,-0.05,0.06,-0.08
-4.62,7.69,2.04,-0.04,0.08,-0.08
-4.70,7.65,2.14,-0.02,0.08,-0.08
-4.75,7.67,2.14,-0.01,0.08,-0.08
-4.78,7.74,2.02,-0.00,0.08,-0.07
-4.82,7.83,1.89,-0.00,0.07,-0.06
-4.83,7.87,1.82,-0.01,0.06,-0.05
-4.78,7.87,1.84,-0.02,0.04,-0.04
-4.72,7.86,1.87,-0.02,0.02,-0.04
-4.68,7.83,1.92,-0.03,0.02,-0.04
-4.68,7.81,1.98,-0.02,0.02,-0.04
-4.69,7.81,2.00,-0.02,0.03,-0.04
-4.70,7.83,1.99,-0.02,0.03,-0.03
-4.69,7.87,1.93,-0.02,0.03,-0.03
-4.68,7.89,1.89,-0.02,0.02,-0.02
-4.67,7.87,1.89,-0.02,0.01,-0.02
-4.66,7.82,1.92,-0.02,0.01,-0.03
-4.63,7.75,1.99,-0.02,0.01,-0.03
-4.65,7.71,2.03,-0.00,0.02,-0.04
-4.73,7.70,2.03,0.01,0.04,-0.04
-4.84,7.74,2.01,0.03,0.06,-0.05
-4.96,7.78,1.95,0.04,0.06,-0.05
-5.14,7.83,1.94,0.06,0.05,-0.04
-5.39,7.90,1.96,0.08,0.03,-0.02
-5.69,8.02,1.96,0.12,0.02,-0.00
-6.00,8.23,1.89,0.16,0.03,0.03
-6.38,8.51,1.74,0.21,0.07,0.07
-6.89,8.82,1.51,0.26,0.11,0.14
-7.47,9.05,1.29,0.30,0.14,0.24
-8.09,9.19,1.21,0.34,0.14,0.35
-8.83,9.24,1.10,0.37,0.12,0.50
-9.55,9.21,0.97,0.40,0.08,0.69
-10.13,9.12,0.79,0.41,0.03,0.92
-10.41,9.04,0.50,0.38,-0.06,1.19
-10.35,9.00,0.21,0.33,-0.14,1.47
-10.01,8.99,-0.08,0.25,-0.22,1.75
-9.56,8.93,-0.30,0.17,-0.26,2.03
-9.14,8.77,-0.31,0.09,-0.25,2.31
-8.83,8.50,-0.18,0.01,-0.21,2.60
-8.51,8.18,-0.08,-0.07,-0.16,2.90
-8.01,7.89,0.02,-0.15,-0.14,3.18
-7.41,7.59,0.07,-0.24,-0.11,3.44
-7.03,7.48,0.13,-0.34,-0.06,3.76
-6.28,7.07,0.19,-0.42,0.06,4.21
-5.20,6.41,0.39,-0.49,0.20,4.59
-4.23,5.83,0.63,-0.58,0.26,4.88
-3.43,5.25,0.80,-0.67,0.31,5.12
-2.76,4.65,0.95,-0.75,0.35,5.36
-2.05,3.98,1.04,-0.84,0.38,5.58
-1.35,3.23,1.14,-0.94,0.42,5.76
-0.69,2.37,1.33,-1.05,0.48,5.92
-0.11,1.44,1.67,-1.14,0.55,6.04
0.42,0.50,1.93,-1.22,0.64,6.14
0.94,-0.35,2.29,-1.31,0.69,6.22
1.57,-1.16,2.68,-1.38,0.66,6.25
2.48,-2.03,3.17,-1.44,0.60,6.26
3.79,-2.97,3.70,-1.45,0.50,6.21
5.27,-3.77,4.02,-1.44,0.42,6.09
6.57,-4.28,4.16,-1.39,0.44,5.91
7.36,-4.50,4.24,-1.29,0.57,5.70
7.91,-4.64,4.58,-1.21,0.70,5.46
8.77,-4.88,5.22,-1.14,0.72,5.19
10.02,-5.13,5.98,-1.06,0.66,4.87
11.43,-5.30,6.71,-0.95,0.62,4.49
12.72,-5.32,7.37,-0.80,0.63,4.07
13.53,-5.12,7.81,-0.63,0.67,3.62
13.79,-4.96,8.23,-0.45,0.66,3.15
14.14,-5.06,8.65,-0.30,0.47,2.65
15.11,-5.40,9.03,-0.17,0.12,2.09
16.46,-5.68,9.18,-0.03,-0.25,1.44
17.53,-5.65,9.03,0.13,-0.52,0.73
17.94,-5.36,8.65,0.31,-0.67,-0.02
17.67,-4.97,8.25,0.46,-0.76,-0.75
16.92,-4.61,7.78,0.58,-0.85,-1.42
15.90,-4.28,7.29,0.67,-0.95,-2.04
14.87,-4.01,6.76,0.73,-1.08,-2.58
13.95,-3.81,6.24,0.76,-1.21,-3.07
