X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-4.63,8.45,1.18,0.08,0.07,-0.04
-4.64,8.43,1.06,0.07,0.06,-0.03
-4.61,8.40,1.04,0.05,0.06,-0.02
-4.57,8.36,1.12,0.05,0.06,-0.02
-4.55,8.30,1.21,0.05,0.06,-0.01
-4.52,8.28,1.29,0.05,0.05,-0.01
-4.50,8.27,1.30,0.06,0.06,-0.00
-4.45,8.26,1.28,0.06,0.06,0.00
-4.39,8.25,1.21,0.05,0.06,0.01
-4.33,8.24,1.17,0.05,0.07,0.01
-4.29,8.23,1.16,0.04,0.07,0.01
-4.26,8.21,1.19,0.03,0.07,0.01
-4.23,8.18,1.29,0.03,0.07,0.00
-4.21,8.15,1.37,0.04,0.07,-0.00
-4.24,8.14,1.42,0.05,0.08,-0.01
-4.28,8.15,1.37,0.06,0.09,-0.00
-4.30,8.16,1.30,0.07,0.10,0.01
-4.33,8.16,1.25,0.07,0.10,0.02
-4.32,8.17,1.22,0.06,0.09,0.03
-4.29,8.19,1.20,0.05,0.07,0.03
-4.23,8.22,1.19,0.03,0.06,0.04
-4.20,8.23,1.17,0.02,0.04,0.04
-4.16,8.23,1.18,0.01,0.02,0.04
-4.10,8.20,1.21,-0.00,0.02,0.03
-4.05,8.15,1.23,-0.00,0.01,0.03
-3.98,8.11,1.23,-0.00,0.02,0.02
-3.88,8.07,1.21,-0.00,0.03,0.01
-3.79,8.02,1.20,0.00,0.04,-0.00
-3.70,7.95,1.20,0.01,0.04,-0.03
-3.63,7.88,1.19,0.01,0.05,-0.05
-3.51,7.85,1.18,0.02,0.05,-0.08
-3.36,7.91,1.16,0.02,0.06,-0.12
-3.27,8.00,1.23,0.05,0.08,-0.17
-3.39,8.09,1.30,0.09,0.11,-0.23
-3.65,8.20,1.39,0.14,0.14,-0.29
-4.02,8.42,1.39,0.22,0.19,-0.34
-4.50,8.80,1.27,0.31,0.25,-0.38
-5.16,9.27,1.05,0.41,0.33,-0.40
-6.01,9.75,0.64,0.51,0.45,-0.41
-6.94,10.22,0.09,0.59,0.57,-0.38
-7.70,10.58,-0.39,0.62,0.63,-0.30
-8.16,10.69,-0.86,0.59,0.63,-0.17
-8.43,10.56,-1.20,0.53,0.62,-0.01
-8.77,10.37,-1.50,0.48,0.65,0.18
-9.21,10.29,-1.71,0.44,0.68,0.39
-9.64,10.26,-1.85,0.37,0.68,0.62
-9.91,10.21,-1.88,0.28,0.60,0.86
-9.95,10.05,-1.83,0.17,0.47,1.10
-9.80,9.76,-1.82,0.08,0.37,1.33
-9.53,9.47,-1.90,0.01,0.30,1.54
-9.26,9.24,-2.10,-0.04,0.28,1.73
-9.00,9.06,-2.24,-0.07,0.29,1.90
-8.76,8.97,-2.45,-0.10,0.31,2.07
-8.54,8.93,-2.60,-0.13,0.33,2.23
-8.32,8.79,-2.70,-0.18,0.34,2.38
-8.03,8.49,-2.71,-0.26,0.34,2.52
-7.60,8.13,-2.62,-0.37,0.33,2.67
-7.04,7.81,-2.53,-0.50,0.34,2.82
-6.50,7.53,-2.35,-0.64,0.41,2.97
-6.09,7.25,-2.13,-0.78,0.52,3.13
-5.81,6.91,-1.85,-0.91,0.65,3.29
-5.54,6.50,-1.64,-1.06,0.75,3.46
-5.19,6.02,-1.38,-1.22,0.82,3.63
-4.72,5.49,-1.10,-1.39,0.85,3.81
-4.15,4.89,-0.82,-1.56,0.84,3.97
-3.56,4.23,-0.42,-1.71,0.82,4.13
-2.96,3.53,0.04,-1.85,0.82,4.27
-2.43,2.83,0.46,-1.96,0.85,4.40
-2.02,2.15,0.72,-2.06,0.93,4.52
-1.77,1.44,0.95,-2.14,1.03,4.63
-1.71,0.71,1.10,-2.22,1.13,4.75
-2.06,0.05,1.16,-2.35,1.21,5.00
-1.78,-0.90,1.37,-2.50,1.22,5.32
-1.19,-1.77,1.52,-2.61,1.23,5.49
-0.75,-2.57,1.89,-2.71,1.18,5.57
-0.42,-3.41,2.39,-2.79,1.11,5.62
-0.10,-4.25,3.08,-2.83,1.05,5.66
0.33,-5.12,3.82,-2.83,1.01,5.69
0.93,-5.93,4.44,-2.79,1.01,5.70
1.55,-6.54,4.72,-2.72,1.11,5.67
1.89,-6.90,5.07,-2.61,1.32,5.62
2.19,-7.28,5.77,-2.50,1.47,5.59
2.99,-8.10,6.92,-2.41,1.45,5.54
4.21,-9.30,8.47,-2.32,1.32,5.39
5.30,-10.37,9.95,-2.13,1.22,5.13
6.09,-10.94,11.19,-1.81,1.23,4.84
6.94,-11.12,12.10,-1.44,1.30,4.55
8.09,-11.23,12.84,-1.09,1.32,4.23
9.49,-11.36,13.45,-0.80,1.25,3.84
11.07,-11.59,14.00,-0.52,1.14,3.37
12.49,-11.75,14.52,-0.22,1.06,2.86
13.60,-11.93,14.88,0.13,1.04,2.31
